"Child_ID","Region","Urbanicity","Gender","C1_Reading","C1_Math","C2_Reading","C2_Math","C4_Reading","C4_Math","C5_Reading","C5_Math","C6_Reading","C6_Math","C7_Reading","C7_Math","P2_Family_Type","WK_Income","Parent_Education","Non_Home_English_Speaker","Full_Time_Program"
"0010022C",1,3,1,26,21,28,25,57,60,89,89,146,117,168,150,3,30000,1,0,0
"0010023C",1,3,0,28,28,39,36,NA,NA,NA,NA,NA,NA,NA,NA,1,54000,1,0,0
"0010024C",1,3,0,27,18,38,26,51,46,89,75,121,121,139,151,NA,NA,NA,0,NA
"0011001C",1,3,1,40,29,42,35,75,49,NA,NA,NA,NA,163,132,2,50000,1,0,0
"0011002C",1,3,1,48,37,71,39,126,65,169,106,174,148,192,150,1,60000,1,0,0
"0011003C",1,3,0,34,33,37,42,78,94,128,127,NA,NA,NA,NA,2,65000,1,0,0
"0011004C",1,3,1,28,29,42,31,71,88,146,125,167,159,191,164,1,2e+05,2,0,0
"0011005C",1,3,1,29,16,38,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"0011006C",1,3,1,31,20,39,27,79,56,126,98,147,115,149,127,2,35000,1,0,0
"0011007C",1,3,0,33,26,36,41,66,56,128,109,151,128,192,151,1,33000,1,0,0
"0011008C",1,3,0,33,29,36,33,74,50,126,90,134,118,NA,126,1,35000,1,0,0
"0011009C",1,3,1,31,25,35,29,71,54,123,82,135,117,182,118,1,50000,0,0,0
"0011010C",1,3,0,33,20,36,31,63,49,105,83,137,128,163,133,1,40000,1,0,0
"0011011C",1,3,0,33,21,41,29,61,54,109,99,147,128,152,141,1,60000,1,0,0
"0011012C",1,3,0,31,24,40,28,76,55,108,91,149,127,176,135,4,25000,0,0,0
"0011013C",1,3,0,33,42,38,47,89,91,149,143,185,161,NA,NA,1,57000,0,0,0
"0011014C",1,3,0,29,20,32,31,98,70,146,94,167,122,197,161,1,46000,1,0,0
"0011015C",1,3,0,26,18,31,22,NA,NA,NA,NA,NA,NA,NA,NA,1,40000,2,0,0
"0011017C",1,3,1,33,20,36,27,78,57,111,121,139,141,157,162,1,45000,1,0,0
"0011018C",1,3,0,26,20,36,32,76,45,127,86,152,100,167,133,1,40000,0,0,0
"0011019C",1,3,1,30,19,42,28,78,59,126,93,155,102,171,134,1,54000,1,0,0
"0011020C",1,3,0,46,41,50,43,115,83,162,121,184,155,181,167,2,60000,1,0,0
"0011021C",1,3,1,34,25,40,35,83,45,113,76,169,121,NA,NA,1,70000,0,0,0
"0011022C",1,3,0,24,18,28,22,38,33,74,73,105,98,117,105,1,18000,0,0,0
"0011023C",1,3,1,32,20,37,26,65,57,127,93,136,108,162,144,2,45000,1,0,0
"0011024C",1,3,0,48,40,58,48,107,60,169,135,182,154,204,165,1,90000,1,0,0
"0013001C",1,3,1,49,46,63,56,101,68,171,110,191,137,203,162,2,45000,2,0,1
"0013003C",1,3,0,36,55,50,69,74,106,144,131,NA,NA,NA,NA,1,45000,1,0,1
"0013004C",1,3,0,43,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"0013005C",1,3,1,56,47,78,50,126,105,108,101,155,130,190,163,1,1e+05,1,0,1
"0013006C",1,3,1,52,36,86,56,138,94,177,118,NA,NA,NA,NA,1,2e+05,2,0,1
"0013007C",1,3,0,34,35,50,46,NA,NA,165,104,NA,NA,NA,NA,1,87000,1,0,1
"0013008C",1,3,1,60,44,99,59,130,101,165,155,NA,NA,NA,NA,2,80000,2,0,1
"0013009C",1,3,0,39,38,56,49,76,61,126,103,NA,NA,NA,NA,1,70000,2,0,1
"0014001C",1,3,0,31,21,47,46,76,71,126,120,166,142,180,164,2,47000,1,0,0
"0014002C",1,3,1,30,17,45,31,65,46,107,75,164,104,185,137,1,25000,1,0,0
"0014003C",1,3,1,37,29,45,35,79,58,146,104,NA,NA,NA,NA,1,35000,0,0,0
"0014004C",1,3,0,25,13,36,25,44,33,NA,NA,NA,NA,NA,NA,1,38000,0,0,0
"0015001C",1,3,0,32,18,39,34,71,53,127,107,156,142,150,156,1,40000,1,0,0
"0015002C",1,3,0,36,46,50,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,1,0,0
"0015003C",1,3,0,33,27,35,28,64,69,144,117,NA,NA,NA,NA,1,25000,0,0,0
"0015004C",1,3,0,25,17,30,21,57,42,83,61,105,103,NA,NA,1,13000,1,0,0
"0015005C",1,3,1,50,31,87,46,NA,NA,NA,NA,NA,NA,NA,NA,3,10000,0,0,0
"0015006C",1,3,0,31,30,39,35,61,60,124,104,NA,NA,157,143,1,37000,1,0,0
"0015007C",1,3,1,NA,NA,46,37,75,60,109,79,139,123,NA,NA,3,12000,0,0,NA
"0015008C",1,3,1,25,16,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,1,36000,0,0,0
"0015009C",1,3,1,25,18,36,33,59,38,105,72,130,103,NA,NA,1,15000,0,0,0
"0015010C",1,3,0,43,38,75,58,148,88,167,130,NA,NA,NA,NA,1,75000,1,0,0
"0015011C",1,3,0,37,33,51,49,124,75,167,145,NA,NA,NA,NA,NA,NA,NA,0,0
"0015012C",1,3,0,25,21,34,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,0,0,0
"0015013C",1,3,0,31,27,40,27,89,57,NA,NA,NA,NA,NA,NA,3,10000,1,0,0
"0015014C",1,3,1,49,31,52,42,65,67,146,102,175,145,201,162,1,33000,1,0,0
"0015015C",1,3,1,36,27,44,43,82,82,148,120,NA,NA,NA,NA,1,45000,0,0,0
"0015016C",1,3,0,25,16,28,22,51,34,NA,NA,NA,NA,NA,NA,NA,10000,0,0,0
"0015017C",1,3,0,23,13,28,13,46,24,NA,49,84,73,NA,NA,1,10000,0,0,0
"0015018C",1,3,0,28,27,33,47,NA,NA,NA,NA,NA,NA,NA,NA,3,14000,1,0,0
"0015019C",1,3,1,41,29,45,35,67,63,119,126,120,128,172,151,1,37000,1,0,0
"0015020C",1,3,1,49,38,76,38,146,74,135,105,166,119,183,141,1,35000,2,0,0
"0015021C",1,3,1,24,18,29,19,48,35,75,45,NA,NA,NA,NA,2,35000,0,0,0
"0015022C",1,3,0,25,13,31,20,50,49,93,55,NA,NA,NA,NA,3,10000,2,0,0
"0015023C",1,3,0,23,13,28,18,48,39,53,66,89,107,126,118,NA,50000,0,0,0
